Frame,X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,Action
58,808.1764115733464,481.82977454556664,733.0534961589781,517.2018166160701,780.0624461749596,377.23854202259037,689.7155172855905,431.4161059952398,
59,808.0532675501431,482.34528275896713,733.1183802123442,516.9428522947777,779.6634300587641,377.45589424881604,689.8692369659814,431.2315079098492,
60,807.9190468700414,482.358552780458,733.0517188208088,516.630627659897,779.5092983937432,377.3416415072582,689.6486830161848,430.9390321193467,
61,807.7953292913628,482.2705014775593,732.8880386397059,516.5030560795859,779.3978659425735,377.07810101341306,689.414122748505,430.51683865819433,
62,807.5363711608007,482.02425281209014,732.8386695177857,516.2287707779132,779.128413732957,376.8456228220309,689.3899842519693,430.45959295423347,
63,807.4836625628094,481.5816133714516,732.7931710631076,515.655402739117,779.0383969386685,376.51343451066685,689.689953292289,429.58420604254013,
64,807.2628092235462,481.0346670083266,733.0083185385035,515.2277037282137,778.9450058596465,375.9837095939976,689.733090684624,429.1123209869496,
65,806.9558780046954,480.6592187926561,732.912417349021,514.852960233525,778.6044384740367,375.6048110675831,689.8369599125327,428.7084514284221,
66,806.7197281989983,480.2296046560891,732.9439865751203,514.4103925484987,778.3909328267482,375.0339352244621,690.0113320871399,428.0355413244032,
67,806.6816380681386,479.93526058622933,733.0011841916635,514.009097778016,778.5052869721139,374.6346354513013,690.1446715371263,427.55895058853105,
68,806.625627138413,479.66691735269296,733.0756871851917,513.7445577722286,778.5040755321313,374.4385797401215,690.4435012185085,427.0007664649824,
69,806.5140308860729,479.31773017355636,733.0816778628575,513.5283682954085,778.4570786978044,374.143313253916,690.3957909505855,426.7128583978034,
70,806.4128300450282,479.1005762782202,733.2545606900705,513.355150276548,778.607800186353,373.8558450954537,690.5215013472543,426.5585165335794,
71,806.482252162946,478.88682602670804,733.2368584030863,513.1870877458167,778.5261109450373,373.69269573446206,690.64136867689,426.22471903573836,
72,806.3152231020483,478.6885491736529,733.2207554465905,513.0061046323206,778.4427146887151,373.5163615716215,690.7070289130172,425.9353858446106,
73,806.2644298660031,478.58093638793207,733.240523508025,512.8663449156862,778.36418523543,373.4167469248154,690.7654320687047,425.83189717024584,
74,806.0641851048962,478.58148081968335,733.2269429092323,512.720242052023,778.2513962639732,373.44266649804104,690.8049463050319,425.81736334396413,
75,805.678539900076,478.8116816947032,733.05956735464,512.7411214089182,777.7061765116466,373.5128221414959,690.7446496261679,425.8468365662731,
